id,Year,name,fuel,capex,fom,vom,lifetime,initial_capacity_lifetime,discount_rate,heat_rate_base,heat_rate_incr,unit_size,node,max_build,min_build,initial_capacity,line,unit_type,scenarios,near_optimum,range_group,min_load_pct,ramp_rate_pct,start_cost_per_mw,retrofit_group,retrofit_cap
0,2025,pv_apb1,solar,605.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
1,2026,pv_apb1,solar,568.4,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
2,2027,pv_apb1,solar,531.8,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
3,2028,pv_apb1,solar,495.2,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
4,2029,pv_apb1,solar,458.6,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
5,2030,pv_apb1,solar,422.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
6,2031,pv_apb1,solar,416.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
7,2032,pv_apb1,solar,410.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
8,2033,pv_apb1,solar,404.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
9,2034,pv_apb1,solar,398.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
10,2035,pv_apb1,solar,392.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
11,2036,pv_apb1,solar,386.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
12,2037,pv_apb1,solar,380.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
13,2038,pv_apb1,solar,374.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
14,2039,pv_apb1,solar,368.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
15,2040,pv_apb1,solar,362.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
16,2041,pv_apb1,solar,356.1,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
17,2042,pv_apb1,solar,350.2,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
18,2043,pv_apb1,solar,344.3,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
19,2044,pv_apb1,solar,338.4,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
20,2045,pv_apb1,solar,332.5,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
21,2046,pv_apb1,solar,326.6,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
22,2047,pv_apb1,solar,320.7,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
23,2048,pv_apb1,solar,314.8,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
24,2049,pv_apb1,solar,308.9,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
25,2050,pv_apb1,solar,303.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
26,2051,pv_apb1,solar,298.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
27,2052,pv_apb1,solar,293.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
28,2053,pv_apb1,solar,288.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
29,2054,pv_apb1,solar,283.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
30,2055,pv_apb1,solar,278.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
31,2056,pv_apb1,solar,273.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
32,2057,pv_apb1,solar,268.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
33,2058,pv_apb1,solar,263.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
34,2059,pv_apb1,solar,258.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
35,2060,pv_apb1,solar,253.0,12.0,0.0,27,27,0.1,0,0.0,0.001,APB1,92.0,0,0.0,pv_connection,solar,"default,ce_2025_2060,ce_more_baseload",True,PV,,,,,
36,2025,wind_apb1,wind,1735.0,42.0,0.0,27,27,0.1,0,0.0,0.001,APB1,5.501,0,0.0,wind_connection,wind,"default,ce_2025_2060,ce_more_baseload",True,Wind,,,,,
